chi2	redchi2	g	g_error	k	k_error	support	p-value	AIC	AICc	csv_number	component
4023.825874825201	6.949612909888085	1.2655925454624874e-06	4.440198734922504e-08	0.0007908699103840146	1.4776866549994767e-05	1.0	0.0	3992.977170312134	3992.997931557809	00006	x
15857.202593650549	27.387223823230656	1.0675204888098505e-06	3.271840021197403e-08	0.0005225595435105498	1.0349718692839875e-05	1.0	0.0	8820.846059869553	8820.866821115227	00006	y
1924.9013247711634	3.3245273312109904	1.2253310347961565e-08	7.309360137163798e-10	1.4730982817687422e-05	3.5235623015736273e-07	1.0	0.0	7352.486286222016	7352.50704746769	00006	c0int
21909.216445658167	37.83975206504001	1.8410101137289608e-06	1.1166680152491678e-07	0.002230067723075499	5.3947414360114746e-05	1.0	0.0	6724.073238544356	6724.0939997900305	00007	x
659456.000829611	1138.9568235399154	1.8907037314896207e-06	5.8250038772723595e-08	0.0009346116533248497	1.8453252637734237e-05	1.0	0.0	17576.14066887233	17576.161430118005	00007	y
10584.692375118897	18.280988558063726	6.432545354484716e-08	2.6337816961870424e-09	5.060703110610989e-05	9.497136911665349e-07	1.0	0.0	8898.530542067403	8898.551303313077	00007	c0int
1917.2544274985235	3.4482993300333153	1.0428533781249202e-07	1.4710457224768278e-08	0.00024358210279287778	1.474719175341876e-05	1.0	0.0	3688.1127516526526	3688.1343732742744	00005	x
6543.340028631722	11.76859717379806	2.2167168853015886e-07	1.3985696751187292e-08	0.0002733747782898375	6.8710261627803085e-06	1.0	0.0	6037.294668668326	6037.316290289948	00005	y
3889.1142542671946	6.994809809833084	2.0454517233484872e-08	1.2576528845259747e-09	2.4890758926529155e-05	6.139831635776943e-07	1.0	0.0	7555.144248470186	7555.165870091807	00005	c0int
2693.841412237608	4.701293913154639	2.5140105936960687e-07	2.7582619899628813e-08	0.0004992830131727341	2.2913891457334413e-05	1.0	0.0	4054.6385703359747	4054.659549356954	00010	x
30674.604160642957	53.533340594490326	6.52018430815353e-07	2.6300389784125437e-08	0.0004956260765608614	9.299802108409545e-06	1.0	0.0	9105.835776529326	9105.856755550305	00010	y
5352.173763907733	9.34061738901873	5.635660294195572e-08	2.829915909069198e-09	5.650678263628688e-05	1.1757365368721458e-06	1.0	0.0	7680.813391030768	7680.834370051747	00010	c0int
9699.564581356663	16.752270434122043	1.8519995179905846e-06	8.771435198430388e-08	0.0017363880481141205	3.4625794866978696e-05	1.0	0.0	5546.356849440048	5546.377610685722	00004	x
180302.01745324885	311.40244810578383	1.6061798681401863e-06	4.943658813221353e-08	0.0007925098660118176	1.5656675452977933e-05	1.0	0.0	15050.542037728515	15050.56279897419	00004	y
9654.68410294026	16.67475665447368	2.4926453954166905e-08	9.59064483273081e-10	1.796309286405934e-05	3.336033065346827e-07	1.0	0.0	9704.9742854874	9704.995046733075	00004	c0int
3452.192832640041	5.962336498514752	9.934141523478624e-07	5.907242971763132e-08	0.0011835378190730792	2.8142029896449976e-05	1.0	0.0	4157.810478322757	4157.831239568432	00000	x
78262.76359644088	135.16884904393936	1.4784167183676587e-06	4.518912884658838e-08	0.0007197736717679044	1.4281103120377954e-05	1.0	0.0	12116.905075542456	12116.92583678813	00000	y
3489.6016827027715	6.02694591140375	1.3617560510608926e-08	7.130163039020823e-10	1.4371105275021919e-05	3.078082032075e-07	1.0	0.0	8578.791364000328	8578.812125246002	00000	c0int
51894.70046100054	89.78321879065837	3.4124904292504116e-06	1.456918882188576e-07	0.0028180771862717745	5.3533947438980545e-05	1.0	0.0	8474.070062707146	8474.090859934182	00001	x
860998.6867062362	1489.6171050280902	2.4096662558749495e-06	6.886430676688236e-08	0.0010119629408756642	2.1211650099782127e-05	1.0	0.0	19838.940335765332	19838.96113299237	00001	y
6025.994657617357	10.425596293455635	4.899263064517893e-08	2.5760237131650914e-09	5.202968969091763e-05	1.1196320206997358e-06	1.0	0.0	7781.885645642046	7781.906442869083	00001	c0int
9007.299203394467	15.610570543144656	7.737112097066974e-07	6.811982713983176e-08	0.0012900661552367328	4.6132635008089824e-05	1.0	0.0	5144.539646765071	5144.560480098404	00003	x
78413.19690027754	135.89808821538568	1.1936841720541045e-06	4.10263392348519e-08	0.0007174209716259728	1.350449530341483e-05	1.0	0.0	11737.837660414563	11737.858493747897	00003	y
4237.843884048039	7.344616783445476	4.653220747339871e-08	2.911091701464478e-09	5.8894916324584714e-05	1.480272412441643e-06	1.0	0.0	7221.14083090409	7221.161664237423	00003	c0int
247196.58830163526	426.9371127834806	6.461177531183296e-06	2.3702047427463591e-07	0.004321542751822154	8.025389722437133e-05	1.0	0.0	13344.11591493203	13344.136676177704	00002	x
6237819.171993068	10773.435530212553	2.8079016417093462e-06	7.693265194550766e-08	0.0010661294708232444	2.3274993887421864e-05	1.0	0.0	26390.772652485226	26390.793413730902	00002	y
7713.657192188439	13.322378570273642	2.9053929834433462e-08	1.4216912144644684e-09	2.8499908934740078e-05	5.81799899677088e-07	1.0	0.0	8767.863253568206	8767.88401481388	00002	c0int
2325.3832513755233	4.212650817709282	5.818337120497863e-08	9.454164601385414e-09	0.0001560915647314995	1.1170245035023652e-05	1.0	0.0	4204.801430652486	4204.823209236878	00009	x
3890.4007493389563	7.047827444454631	1.0639445990792988e-07	9.665501851941694e-09	0.00017845872899149796	6.587698449003562e-06	1.0	0.0	5066.194928699018	5066.216707283411	00009	y
6805.873633184079	12.329481219536376	6.308481082918772e-08	3.1515088868647636e-09	6.168750060726463e-05	1.2876365135341512e-06	1.0	0.0	7571.670360752728	7571.69213933712	00009	c0int
3302.6560109847496	5.794133352604824	3.1655301322999145e-07	3.8400111167389465e-08	0.0006639873428440618	3.3907973303669085e-05	1.0	0.0	3589.647775590397	3589.6688652213284	00008	x
